date,datetime,cash_type,card,money,coffee_name
5/6/24,2024-05-06 10:09:08,card,ANON-0000-0000-0150,27.92,Americano
5/6/24,2024-05-06 10:39:13,card,ANON-0000-0000-0141,27.92,Cortado
5/6/24,2024-05-06 11:34:21,cash,,29,Americano
5/6/24,2024-05-06 13:18:11,card,ANON-0000-0000-0148,27.92,Cortado
5/6/24,2024-05-06 13:19:01,card,ANON-0000-0000-0148,27.92,Americano
5/6/24,2024-05-06 19:18:13,card,ANON-0000-0000-0151,37.72,Cappuccino
5/6/24,2024-05-06 19:19:50,card,ANON-0000-0000-0151,37.72,Cappuccino
5/7/24,2024-05-07 10:44:56,card,ANON-0000-0000-0148,37.72,Cocoa
5/7/24,2024-05-07 11:21:58,card,ANON-0000-0000-0141,27.92,Cortado
5/7/24,2024-05-07 13:23:35,card,ANON-0000-0000-0077,27.92,Cortado
5/7/24,2024-05-07 16:42:08,card,ANON-0000-0000-0148,37.72,Cocoa
5/7/24,2024-05-07 16:55:39,card,ANON-0000-0000-0152,27.92,Americano
5/7/24,2024-05-07 17:37:46,card,ANON-0000-0000-0153,37.72,Cappuccino
5/7/24,2024-05-07 17:38:48,card,ANON-0000-0000-0153,37.72,Latte
5/7/24,2024-05-07 18:35:37,cash,,34,Americano with Milk
5/7/24,2024-05-07 19:12:13,card,ANON-0000-0000-0154,37.72,Cappuccino
5/7/24,2024-05-07 19:13:12,card,ANON-0000-0000-0154,37.72,Cappuccino
5/8/24,2024-05-08 10:07:29,card,ANON-0000-0000-0001,37.72,Latte
5/9/24,2024-05-09 12:54:22,card,ANON-0000-0000-0155,37.72,Cappuccino
5/9/24,2024-05-09 13:03:59,card,ANON-0000-0000-0156,27.92,Americano
5/9/24,2024-05-09 13:04:58,card,ANON-0000-0000-0156,37.72,Latte
5/9/24,2024-05-09 13:06:11,card,ANON-0000-0000-0156,37.72,Latte
5/9/24,2024-05-09 13:07:16,card,ANON-0000-0000-0156,37.72,Latte
5/9/24,2024-05-09 16:55:15,card,ANON-0000-0000-0118,27.92,Americano
5/9/24,2024-05-09 16:56:15,card,ANON-0000-0000-0118,27.92,Americano
5/9/24,2024-05-09 18:01:30,card,ANON-0000-0000-0157,27.92,Americano
5/9/24,2024-05-09 18:13:56,card,ANON-0000-0000-0143,32.82,Americano with Milk
5/10/24,2024-05-10 10:09:22,cash,,39,Latte
5/10/24,2024-05-10 15:46:22,card,ANON-0000-0000-0158,37.72,Latte
5/10/24,2024-05-10 15:47:33,card,ANON-0000-0000-0158,37.72,Latte
5/10/24,2024-05-10 16:20:15,cash,,34,Americano with Milk
5/11/24,2024-05-11 11:39:53,card,ANON-0000-0000-0069,37.72,Latte
5/11/24,2024-05-11 17:02:44,cash,,39,Latte
5/11/24,2024-05-11 17:20:30,card,ANON-0000-0000-0009,32.82,Americano with Milk
5/11/24,2024-05-11 17:21:56,card,ANON-0000-0000-0026,37.72,Cocoa
5/11/24,2024-05-11 17:23:57,card,ANON-0000-0000-0040,37.72,Cappuccino
5/11/24,2024-05-11 17:28:54,card,ANON-0000-0000-0012,32.82,Americano with Milk
5/11/24,2024-05-11 18:35:40,card,ANON-0000-0000-0115,37.72,Cappuccino
5/11/24,2024-05-11 19:38:16,card,ANON-0000-0000-0159,37.72,Latte
5/12/24,2024-05-12 10:20:43,card,ANON-0000-0000-0001,37.72,Latte
5/12/24,2024-05-12 13:24:03,card,ANON-0000-0000-0160,37.72,Latte
